id,date,label
1,2012-07-26,ECB Draghi 'whatever it takes'
2,2015-01-22,ECB announces QE (PSPP)
3,2016-06-23,UK Brexit referendum
4,2016-09-21,BoJ introduces YCC
5,2018-05-29,"Italy political crisis, BTP sell-off"
6,2019-09-12,ECB restarts QE and tiering
7,2020-03-18,ECB launches PEPP
8,2022-02-24,Russia invades Ukraine
9,2022-03-16,Fed hiking cycle begins
10,2022-07-21,ECB lift-off and TPI
11,2022-09-23,"UK mini-budget, gilt crisis"
12,2022-12-20,BoJ widens YCC band
13,2024-03-19,BoJ ends NIRP and YCC
14,2024-06-06,ECB begins cutting cycle
